sample,total_count,population,count,percentage
sample00017,98639,cd4_t_cell,36405,36.9073084683
sample00017,98639,cd8_t_cell,20404,20.6855300642
sample00017,98639,monocyte,17865,18.1114974807
sample00017,98639,nk_cell,20739,21.0251523231
sample00018,101123,b_cell,3578,3.5382652809
sample00018,101123,cd4_t_cell,32675,32.3121347270
sample00018,101123,cd8_t_cell,29520,29.1921719095
sample00018,101123,monocyte,19813,19.5929709364
sample00018,101123,nk_cell,15537,15.3644571462
sample00019,97405,b_cell,8022,8.2357168523
sample00019,97405,cd4_t_cell,30759,31.5784610646
sample00019,97405,cd8_t_cell,27175,27.8989784919
sample00019,97405,monocyte,20466,21.0112417227
sample00019,97405,nk_cell,10983,11.2756018685
sample00020,97228,b_cell,6382,6.5639527708
sample00020,97228,cd4_t_cell,32731,33.6641708150
sample00020,97228,cd8_t_cell,17469,17.9670465298
sample00020,97228,monocyte,22590,23.2340478052
sample00020,97228,nk_cell,18056,18.5707820792
sample00021,100750,b_cell,10337,10.2600496278
sample00021,100750,cd4_t_cell,31535,31.3002481390
sample00021,100750,cd8_t_cell,19144,19.0014888337
sample00021,100750,monocyte,26971,26.7702233251
sample00021,100750,nk_cell,12763,12.6679900744
sample00022,92670,b_cell,9563,10.3194129708
sample00022,92670,cd4_t_cell,32814,35.4095176433
sample00022,92670,cd8_t_cell,22424,24.1976907305
sample00022,92670,monocyte,16304,17.5936117406
sample00022,92670,nk_cell,11565,12.4797669149
sample00023,104960,b_cell,6924,6.5967987805
sample00023,104960,cd4_t_cell,29844,28.4336890244
sample00023,104960,cd8_t_cell,28080,26.7530487805
sample00023,104960,monocyte,24320,23.1707317073
sample00023,104960,nk_cell,15792,15.0457317073
sample00024,99969,b_cell,7552,7.5543418460
sample00024,99969,cd4_t_cell,35270,35.2809370905
sample00024,99969,cd8_t_cell,27821,27.8296271844
sample00024,99969,monocyte,9645,9.6479908772
sample00024,99969,nk_cell,19681,19.6871030019
sample00025,95534,b_cell,11714,12.2616031989
sample00025,95534,cd4_t_cell,30323,31.7405321666
sample00025,95534,cd8_t_cell,21407,22.4077291854
sample00025,95534,monocyte,11789,12.3401092805
sample00025,95534,nk_cell,20301,21.2500261687
sample00026,95777,b_cell,7936,8.2859141548
sample00026,95777,cd4_t_cell,34545,36.0681583261
sample00026,95777,cd8_t_cell,23786,24.8347724401
sample00026,95777,monocyte,15581,16.2679975359
sample00026,95777,nk_cell,13929,14.5431575430
sample00027,93164,b_cell,8850,9.4993774419
sample00027,93164,cd4_t_cell,26079,27.9925722382
sample00027,93164,cd8_t_cell,21268,22.8285603881
sample00027,93164,monocyte,18776,20.1537074406
sample00027,93164,nk_cell,18191,19.5257824911
sample00028,106062,b_cell,11386,10.7352303370
sample00028,106062,cd4_t_cell,28400,26.7767909336
sample00028,106062,cd8_t_cell,28155,26.5457939696
sample00028,106062,monocyte,29251,27.5791518169
sample00028,106062,nk_cell,8870,8.3630329430
sample00029,97156,b_cell,5606,5.7701016921
sample00029,97156,cd4_t_cell,31305,32.2213759315
sample00029,97156,cd8_t_cell,28476,29.3095640002
sample00029,97156,monocyte,15909,16.3746963646
sample00029,97156,nk_cell,15860,16.3242620116
sample00030,93972,b_cell,6413,6.8243732176
sample00030,93972,cd4_t_cell,20437,21.7479674797
sample00030,93972,cd8_t_cell,25167,26.7813816882
sample00030,93972,monocyte,19638,20.8977142127
sample00030,93972,nk_cell,22317,23.7485634019
sample00031,106625,b_cell,7007,6.5716295428
sample00031,106625,cd4_t_cell,31653,29.6862837046
sample00031,106625,cd8_t_cell,30482,28.5880422040
sample00031,106625,monocyte,23316,21.8672919109
sample00031,106625,nk_cell,14167,13.2867526377
sample00032,101357,b_cell,11118,10.9691486528
sample00032,101357,cd4_t_cell,32582,32.1457817418
sample00032,101357,cd8_t_cell,19704,19.4401965330
sample00032,101357,monocyte,17350,17.1177126395
sample00032,101357,nk_cell,20603,20.3271604329
sample00033,93131,b_cell,9054,9.7217897370
sample00033,93131,cd4_t_cell,24897,26.7333111424
sample00033,93131,cd8_t_cell,31679,34.0155265164
sample00033,93131,monocyte,11932,12.8120604310
sample00033,93131,nk_cell,15569,16.7173121732
sample00034,103870,b_cell,8350,8.0388947723
sample00034,103870,cd4_t_cell,36716,35.3480311928
sample00034,103870,cd8_t_cell,26526,25.5376913450
sample00034,103870,monocyte,21284,20.4909983633
sample00034,103870,nk_cell,10994,10.5843843266
sample00035,94622,b_cell,5327,5.6297689755
sample00035,94622,cd4_t_cell,38264,40.4387985881
sample00035,94622,cd8_t_cell,28094,29.6907695885
sample00035,94622,monocyte,15688,16.5796537803
sample00035,94622,nk_cell,7249,7.6610090677
sample00036,103532,b_cell,8635,8.3404164896
sample00036,103532,cd4_t_cell,31787,30.7025847081
sample00036,103532,cd8_t_cell,29458,28.4530386740
sample00036,103532,monocyte,17154,16.5687903257
sample00036,103532,nk_cell,16498,15.9351698026
sample00037,92368,b_cell,8915,9.6516109475
sample00037,92368,cd4_t_cell,24564,26.5936254980
sample00037,92368,cd8_t_cell,21012,22.7481378832
sample00037,92368,monocyte,23510,25.4525376754
sample00037,92368,nk_cell,14367,15.5540879958
sample00038,98897,b_cell,12062,12.1965277005
sample00038,98897,cd4_t_cell,33109,33.4782652659
sample00038,98897,cd8_t_cell,18923,19.1340485556
sample00038,98897,monocyte,20427,20.6548226943
sample00038,98897,nk_cell,14376,14.5363357837
sample00039,107756,b_cell,14634,13.5806822822
sample00039,107756,cd4_t_cell,35553,32.9939864137
sample00039,107756,cd8_t_cell,26888,24.9526708490
sample00039,107756,monocyte,18809,17.4551765099
sample00039,107756,nk_cell,11872,11.0174839452
sample00040,105943,b_cell,11007,10.3895490972
sample00040,105943,cd4_t_cell,25872,24.4206790444
sample00040,105943,cd8_t_cell,25723,24.2800373786
sample00040,105943,monocyte,25016,23.6126973939
sample00040,105943,nk_cell,18325,17.2970370860
sample00041,91358,b_cell,11583,12.6786926159
sample00041,91358,cd4_t_cell,22586,24.7225201953
sample00041,91358,cd8_t_cell,23517,25.7415880383
sample00041,91358,monocyte,19241,21.0611002868
sample00041,91358,nk_cell,14431,15.7960988638
sample00042,111631,b_cell,12118,10.8554075481
sample00042,111631,cd4_t_cell,41403,37.0891598212
sample00042,111631,cd8_t_cell,22342,20.0141537745
sample00042,111631,monocyte,17108,15.3254920228
sample00042,111631,nk_cell,18660,16.7157868334
sample00043,104827,b_cell,4750,4.5312753394
sample00043,104827,cd4_t_cell,36392,34.7162467685
sample00043,104827,cd8_t_cell,23553,22.4684480143
sample00043,104827,monocyte,24363,23.2411497038
sample00043,104827,nk_cell,15769,15.0428801740
sample00044,106034,b_cell,15793,14.8942791935
sample00044,106034,cd4_t_cell,37025,34.9180451553
sample00044,106034,cd8_t_cell,25351,23.9083690137
sample00044,106034,monocyte,13893,13.1024011166
sample00044,106034,nk_cell,13972,13.1769055209
sample00045,104473,b_cell,13792,13.2014970375
sample00045,104473,cd4_t_cell,33714,32.2705387995
sample00045,104473,cd8_t_cell,26314,25.1873689853
sample00045,104473,monocyte,13548,12.9679438707
sample00045,104473,nk_cell,17105,16.3726513070
sample00046,105731,b_cell,7726,7.3072230472
sample00046,105731,cd4_t_cell,29221,27.6371168342
sample00046,105731,cd8_t_cell,25456,24.0761933586
sample00046,105731,monocyte,25427,24.0487652628
sample00046,105731,nk_cell,17901,16.9307014972
sample00047,93338,b_cell,8249,8.8377723971
sample00047,93338,cd4_t_cell,37597,40.2804859757
sample00047,93338,cd8_t_cell,20566,22.0338983051
sample00047,93338,monocyte,15869,17.0016499175
sample00047,93338,nk_cell,11057,11.8461934046
sample00048,105178,b_cell,13648,12.9760976630
sample00048,105178,cd4_t_cell,31150,29.6164597159
sample00048,105178,cd8_t_cell,32565,30.9617980947
sample00048,105178,monocyte,17485,16.6241989770
sample00048,105178,nk_cell,10330,9.8214455494
sample00049,104513,b_cell,11419,10.9259135227
sample00049,104513,cd4_t_cell,29883,28.5926152727
sample00049,104513,cd8_t_cell,20811,19.9123554008
sample00049,104513,monocyte,20669,19.7764871356
sample00049,104513,nk_cell,21731,20.7926286682
sample00050,106504,b_cell,14113,13.2511454969
sample00050,106504,cd4_t_cell,32832,30.8270111921
sample00050,106504,cd8_t_cell,32701,30.7040111170
sample00050,106504,monocyte,12899,12.1112822054
sample00050,106504,nk_cell,13959,13.1065499887
sample00051,88918,b_cell,9765,10.9820283857
sample00051,88918,cd4_t_cell,25644,28.8400548820
sample00051,88918,cd8_t_cell,21622,24.3167862525
sample00051,88918,monocyte,19209,21.6030500011
sample00051,88918,nk_cell,12678,14.2580804786
sample00052,95942,b_cell,11122,11.5924204207
sample00052,95942,cd4_t_cell,21886,22.8116987347
sample00052,95942,cd8_t_cell,30718,32.0172604282
sample00052,95942,monocyte,20577,21.4473327635
sample00052,95942,nk_cell,11639,12.1312876530
sample00053,99135,b_cell,11822,11.9251525697
sample00053,99135,cd4_t_cell,30587,30.8538861149
sample00053,99135,cd8_t_cell,26750,26.9834064659
sample00053,99135,monocyte,22544,22.7407071166
sample00053,99135,nk_cell,7432,7.4968477329
sample00054,99486,b_cell,7782,7.8222061396
sample00054,99486,cd4_t_cell,26399,26.5353919144
sample00054,99486,cd8_t_cell,26235,26.3705445992
sample00054,99486,monocyte,20742,20.8491647066
sample00054,99486,nk_cell,18328,18.4226926402
sample00055,101344,b_cell,11645,11.4905667824
sample00055,101344,cd4_t_cell,34912,34.4490053679
sample00055,101344,cd8_t_cell,23172,22.8646984528
sample00055,101344,monocyte,16223,16.0078544364
sample00055,101344,nk_cell,15392,15.1878749605
sample00056,92361,b_cell,11022,11.9336083412
sample00056,92361,cd4_t_cell,24674,26.7147389049
sample00056,92361,cd8_t_cell,18780,20.3332575438
sample00056,92361,monocyte,20094,21.7559359470
sample00056,92361,nk_cell,17791,19.2624592631
sample00057,111127,b_cell,15157,13.6393495730
sample00057,111127,cd4_t_cell,40906,36.8101361505
sample00057,111127,cd8_t_cell,19991,17.9893275262
sample00057,111127,monocyte,23819,21.4340349330
sample00057,111127,nk_cell,11254,10.1271518173
sample00058,93201,b_cell,10510,11.2767030397
sample00058,93201,cd4_t_cell,28561,30.6445209815
sample00058,93201,cd8_t_cell,20389,21.8763747170
sample00058,93201,monocyte,17442,18.7143914765
sample00058,93201,nk_cell,16299,17.4880097853
sample00059,108944,b_cell,17545,16.1046042003
sample00059,108944,cd4_t_cell,33022,30.3109854604
sample00059,108944,cd8_t_cell,24675,22.6492509913
sample00059,108944,monocyte,19458,17.8605522103
sample00059,108944,nk_cell,14244,13.0746071376
sample00060,103534,b_cell,11035,10.6583344602
sample00060,103534,cd4_t_cell,38817,37.4920316031
sample00060,103534,cd8_t_cell,21406,20.6753337068
sample00060,103534,monocyte,17717,17.1122529797
sample00060,103534,nk_cell,14559,14.0620472502
sample00061,111970,b_cell,4508,4.0260784139
sample00061,111970,cd4_t_cell,38281,34.1886219523
sample00061,111970,cd8_t_cell,34867,31.1395909619
sample00061,111970,monocyte,18301,16.3445565777
sample00061,111970,nk_cell,16013,14.3011520943
sample00062,95286,b_cell,10066,10.5639863149
sample00062,95286,cd4_t_cell,21554,22.6203219780
sample00062,95286,cd8_t_cell,20104,21.0985874105
sample00062,95286,monocyte,26057,27.3460949143
sample00062,95286,nk_cell,17505,18.3710093823
sample00063,93940,b_cell,7236,7.7027890143
sample00063,93940,cd4_t_cell,29335,31.2273791782
sample00063,93940,cd8_t_cell,32409,34.4996806472
sample00063,93940,monocyte,14501,15.4364487971
sample00063,93940,nk_cell,10459,11.1337023632
sample00064,109577,b_cell,10199,9.3076101737
sample00064,109577,cd4_t_cell,33535,30.6040501200
sample00064,109577,cd8_t_cell,24842,22.6708159559
sample00064,109577,monocyte,24701,22.5421393176
sample00064,109577,nk_cell,16300,14.8753844329
sample00065,92559,b_cell,8425,9.1023023153
sample00065,92559,cd4_t_cell,24750,26.7397011636
sample00065,92559,cd8_t_cell,28293,30.5675298998
sample00065,92559,monocyte,18995,20.5220453981
sample00065,92559,nk_cell,12096,13.0684212232
sample00066,107284,b_cell,8052,7.5053130010
sample00066,107284,cd4_t_cell,37350,34.8141381753
sample00066,107284,cd8_t_cell,35323,32.9247604489
sample00066,107284,monocyte,12632,11.7743559151
sample00066,107284,nk_cell,13927,12.9814324596
sample00067,107589,b_cell,11874,11.0364442462
sample00067,107589,cd4_t_cell,29460,27.3819814293
sample00067,107589,cd8_t_cell,24116,22.4149308944
sample00067,107589,monocyte,20737,19.2742752512
sample00067,107589,nk_cell,21402,19.8923681789
sample00068,110245,b_cell,10501,9.5251485328
sample00068,110245,cd4_t_cell,35458,32.1629098825
sample00068,110245,cd8_t_cell,33801,30.6598938727
sample00068,110245,monocyte,23088,20.9424463694
sample00068,110245,nk_cell,7397,6.7096013425
sample00069,110094,b_cell,11742,10.6654313587
sample00069,110094,cd4_t_cell,35087,31.8700383309
sample00069,110094,cd8_t_cell,30825,27.9988010246
sample00069,110094,monocyte,19536,17.7448362309
sample00069,110094,nk_cell,12904,11.7208930550
sample00070,97532,b_cell,9131,9.3620555305
sample00070,97532,cd4_t_cell,31460,32.2560800558
sample00070,97532,cd8_t_cell,21272,21.8102776525
sample00070,97532,monocyte,19761,20.2610425296
sample00070,97532,nk_cell,15908,16.3105442316
sample00071,96197,b_cell,5029,5.2278137572
sample00071,96197,cd4_t_cell,36013,37.4367184008
sample00071,96197,cd8_t_cell,19587,20.3613418298
sample00071,96197,monocyte,15972,16.6034283813
sample00071,96197,nk_cell,19596,20.3706976309
sample00072,93613,b_cell,8730,9.3256278508
sample00072,93613,cd4_t_cell,22481,24.0148270005
sample00072,93613,cd8_t_cell,26500,28.3080341406
sample00072,93613,monocyte,19301,20.6178629037
sample00072,93613,nk_cell,16601,17.7336481044
sample00073,104898,b_cell,10426,9.9391790120
sample00073,104898,cd4_t_cell,26510,25.2721691548
sample00073,104898,cd8_t_cell,28944,27.5925184465
sample00073,104898,monocyte,19567,18.6533585006
sample00073,104898,nk_cell,19451,18.5427748861
sample00074,92232,b_cell,13166,14.2748720618
sample00074,92232,cd4_t_cell,33699,36.5372105126
sample00074,92232,cd8_t_cell,18608,20.1752103391
sample00074,92232,monocyte,11200,12.1432908318
sample00074,92232,nk_cell,15559,16.8694162547
sample00075,104711,b_cell,14480,13.8285375939
sample00075,104711,cd4_t_cell,33149,31.6576099932
sample00075,104711,cd8_t_cell,26460,25.2695514320
sample00075,104711,monocyte,15639,14.9353936072
sample00075,104711,nk_cell,14983,14.3089073736
sample00076,110097,b_cell,12385,11.2491711854
sample00076,110097,cd4_t_cell,37340,33.9155471993
sample00076,110097,cd8_t_cell,23764,21.5846026686
sample00076,110097,monocyte,20907,18.9896182457
sample00076,110097,nk_cell,15701,14.2610607010
sample00077,105432,b_cell,9602,9.1072919038
sample00077,105432,cd4_t_cell,42528,40.3368996130
sample00077,105432,cd8_t_cell,18744,17.7782836331
sample00077,105432,monocyte,17956,17.0308824645
sample00077,105432,nk_cell,16602,15.7466423856
sample00078,107869,b_cell,5623,5.2128044202
sample00078,107869,cd4_t_cell,26856,24.8968656426
sample00078,107869,cd8_t_cell,32983,30.5769034662
sample00078,107869,monocyte,23663,21.9367937035
sample00078,107869,nk_cell,18744,17.3766327675
sample00079,99165,b_cell,5792,5.8407704331
sample00079,99165,cd4_t_cell,32123,32.3934856048
sample00079,99165,cd8_t_cell,32012,32.2815509504
sample00079,99165,monocyte,18446,18.6013210306
sample00079,99165,nk_cell,10792,10.8828719810
sample00080,95727,b_cell,5519,5.7653535575
sample00080,95727,cd4_t_cell,31007,32.3910704399
sample00080,95727,cd8_t_cell,22834,23.8532493445
sample00080,95727,monocyte,18917,19.7614048283
sample00080,95727,nk_cell,17450,18.2289218298
sample00081,93286,b_cell,9595,10.2855733979
sample00081,93286,cd4_t_cell,31245,33.4937718414
sample00081,93286,cd8_t_cell,18940,20.3031537423
sample00081,93286,monocyte,18924,20.2860021868
sample00081,93286,nk_cell,14582,15.6314988316
sample00082,103389,b_cell,6068,5.8690963255
sample00082,103389,cd4_t_cell,30549,29.5476307924
sample00082,103389,cd8_t_cell,31190,30.1676193792
sample00082,103389,monocyte,17682,17.1023996750
sample00082,103389,nk_cell,17900,17.3132538278
sample00083,88242,b_cell,7306,8.2795040910
sample00083,88242,cd4_t_cell,23762,26.9282201219
sample00083,88242,cd8_t_cell,23204,26.2958681807
sample00083,88242,monocyte,17528,19.8635570363
sample00083,88242,nk_cell,16442,18.6328505700
sample00084,100815,b_cell,10469,10.3843674056
sample00084,100815,cd4_t_cell,28340,28.1108961960
sample00084,100815,cd8_t_cell,24997,24.7949213907
sample00084,100815,monocyte,18881,18.7283638347
sample00084,100815,nk_cell,18128,17.9814511729
sample00085,102542,b_cell,13770,13.4286438728
sample00085,102542,cd4_t_cell,26218,25.5680599169
sample00085,102542,cd8_t_cell,32384,31.5812057498
sample00085,102542,monocyte,12907,12.5870375066
sample00085,102542,nk_cell,17263,16.8350529539
sample00086,105610,b_cell,12479,11.8161158981
sample00086,105610,cd4_t_cell,31475,29.8030489537
sample00086,105610,cd8_t_cell,18340,17.3657797557
sample00086,105610,monocyte,16664,15.7788088249
sample00086,105610,nk_cell,26652,25.2362465676
sample00087,91946,b_cell,5686,6.1840645596
sample00087,91946,cd4_t_cell,26848,29.1997476780
sample00087,91946,cd8_t_cell,21892,23.8096273900
sample00087,91946,monocyte,25096,27.2942814261
sample00087,91946,nk_cell,12424,13.5122789463
sample00088,101732,b_cell,6883,6.7658160657
sample00088,101732,cd4_t_cell,31277,30.7445051704
sample00088,101732,cd8_t_cell,23831,23.4252742500
sample00088,101732,monocyte,20748,20.3947627099
sample00088,101732,nk_cell,18993,18.6696418040
sample00089,107271,b_cell,14432,13.4537759506
sample00089,107271,cd4_t_cell,31757,29.6044597328
sample00089,107271,cd8_t_cell,23729,22.1206104166
sample00089,107271,monocyte,22063,20.5675345620
sample00089,107271,nk_cell,15290,14.2536193379
sample00090,102290,b_cell,13492,13.1899501418
sample00090,102290,cd4_t_cell,26759,26.1599374328
sample00090,102290,cd8_t_cell,20490,20.0312836054
sample00090,102290,monocyte,23448,22.9230618829
sample00090,102290,nk_cell,18101,17.6957669371
sample00091,102598,b_cell,4652,4.5342014464
sample00091,102598,cd4_t_cell,33782,32.9265677694
sample00091,102598,cd8_t_cell,30489,29.7169535469
sample00091,102598,monocyte,15790,15.3901635509
sample00091,102598,nk_cell,17885,17.4321136864
sample00092,113429,b_cell,7510,6.6208817851
sample00092,113429,cd4_t_cell,37137,32.7403045077
sample00092,113429,cd8_t_cell,22955,20.2373290781
sample00092,113429,monocyte,23268,20.5132726199
sample00092,113429,nk_cell,22559,19.8882120093
sample00093,109064,b_cell,8676,7.9549622240
sample00093,109064,cd4_t_cell,33280,30.5141935011
sample00093,109064,cd8_t_cell,22893,20.9904276388
sample00093,109064,monocyte,16745,15.3533704981
sample00093,109064,nk_cell,27470,25.1870461380
sample00094,102270,b_cell,13462,13.1631954630
sample00094,102270,cd4_t_cell,23802,23.2736872983
sample00094,102270,cd8_t_cell,19888,19.4465630195
sample00094,102270,monocyte,25885,25.3104527232
sample00094,102270,nk_cell,19233,18.8061014960
sample00095,93081,b_cell,4896,5.2599348954
sample00095,93081,cd4_t_cell,17746,19.0651153297
sample00095,93081,cd8_t_cell,29022,31.1792954523
sample00095,93081,monocyte,27838,29.9072850528
sample00095,93081,nk_cell,13579,14.5883692698
sample00096,108158,b_cell,8717,8.0595055382
sample00096,108158,cd4_t_cell,31047,28.7052275375
sample00096,108158,cd8_t_cell,29369,27.1537935243
sample00096,108158,monocyte,25516,23.5914125631
sample00096,108158,nk_cell,13509,12.4900608369
sample00097,100776,b_cell,11469,11.3806858776
sample00097,100776,cd4_t_cell,25644,25.4465348893
sample00097,100776,cd8_t_cell,25912,25.7124712233
sample00097,100776,monocyte,26747,26.5410415178
sample00097,100776,nk_cell,11004,10.9192664920
sample00098,105304,b_cell,10482,9.9540378333
sample00098,105304,cd4_t_cell,31326,29.7481577148
sample00098,105304,cd8_t_cell,25543,24.2564385019
sample00098,105304,monocyte,23494,22.3106434703
sample00098,105304,nk_cell,14459,13.7307224797
sample00099,107859,b_cell,12589,11.6717195598
sample00099,107859,cd4_t_cell,30346,28.1348797968
sample00099,107859,cd8_t_cell,30282,28.0755430701
sample00099,107859,monocyte,16250,15.0659657516
sample00099,107859,nk_cell,18392,17.0518918217
sample00100,106648,b_cell,12923,12.1174330508
sample00100,106648,cd4_t_cell,32069,30.0699497412
sample00100,106648,cd8_t_cell,24732,23.1903083040
sample00100,106648,monocyte,17589,16.4925737004
sample00100,106648,nk_cell,19335,18.1297352037
sample00101,100154,b_cell,18583,18.5544261837
sample00101,100154,cd4_t_cell,23455,23.4189348403
sample00101,100154,cd8_t_cell,28514,28.4701559598
sample00101,100154,monocyte,17677,17.6498192783
sample00101,100154,nk_cell,11925,11.9066637378
sample00102,102212,b_cell,16339,15.9854028881
sample00102,102212,cd4_t_cell,30765,30.0992055727
sample00102,102212,cd8_t_cell,15936,15.5911243298
sample00102,102212,monocyte,22541,22.0531835792
sample00102,102212,nk_cell,16631,16.2710836301
sample00103,109022,b_cell,8845,8.1130414045
sample00103,109022,cd4_t_cell,40757,37.3841976849
sample00103,109022,cd8_t_cell,29598,27.1486488966
sample00103,109022,monocyte,20436,18.7448404909
sample00103,109022,nk_cell,9386,8.6092715232
sample00104,110049,b_cell,7005,6.3653463457
sample00104,110049,cd4_t_cell,37678,34.2374760334
sample00104,110049,cd8_t_cell,22323,20.2846004961
sample00104,110049,monocyte,20200,18.3554598406
sample00104,110049,nk_cell,22843,20.7571172841
sample00105,97807,b_cell,10654,10.8928808776
sample00105,97807,cd4_t_cell,27062,27.6687762635
sample00105,97807,cd8_t_cell,20879,21.3471428425
sample00105,97807,monocyte,24268,24.8121300111
sample00105,97807,nk_cell,14944,15.2790700052
sample00106,93933,b_cell,10373,11.0429774414
sample00106,93933,cd4_t_cell,31487,33.5207009251
sample00106,93933,cd8_t_cell,17211,18.3226342180
sample00106,93933,monocyte,19680,20.9511034461
sample00106,93933,nk_cell,15182,16.1625839694
sample00107,102371,b_cell,17623,17.2148362329
sample00107,102371,cd4_t_cell,41127,40.1744634711
sample00107,102371,cd8_t_cell,22928,22.3969678913
sample00107,102371,monocyte,10158,9.9227320237
sample00107,102371,nk_cell,10535,10.2910003810
sample00108,97245,b_cell,4983,5.1241709085
sample00108,97245,cd4_t_cell,26215,26.9576841997
sample00108,97245,cd8_t_cell,27559,28.3397603990
sample00108,97245,monocyte,21483,22.0916242480
sample00108,97245,nk_cell,17005,17.4867602447
sample00109,104944,b_cell,13509,12.8725796615
sample00109,104944,cd4_t_cell,37336,35.5770696753
sample00109,104944,cd8_t_cell,20448,19.4846775423
sample00109,104944,monocyte,14045,13.3833282513
sample00109,104944,nk_cell,19606,18.6823448696
sample00110,97311,b_cell,11477,11.7941445469
sample00110,97311,cd4_t_cell,34048,34.9888501814
sample00110,97311,cd8_t_cell,23447,24.0949121888
sample00110,97311,monocyte,14957,15.3703075706
sample00110,97311,nk_cell,13382,13.7517855124
sample00111,102821,b_cell,15992,15.5532430146
sample00111,102821,cd4_t_cell,35615,34.6378658056
sample00111,102821,cd8_t_cell,23376,22.7346553720
sample00111,102821,monocyte,12438,12.0967506638
sample00111,102821,nk_cell,15400,14.9774851441
sample00112,99754,b_cell,8100,8.1199751388
sample00112,99754,cd4_t_cell,32544,32.6242556689
sample00112,99754,cd8_t_cell,25296,25.3583816188
